FoodCategoryCd,구분,레시피 번호,레시피명,
1,밥류,426,짜장밥,밥류_426_짜장밥
10,볶음류,427,오징어소불고기,볶음류_427_오징어소불고기
5,국 및 탕류,428,두부무된장국,국 및 탕류_428_두부무된장국
7,찜류,429,서대채소찜,찜류_429_서대채소찜
8,구이류,430,옥수수버터구이,구이류_430_옥수수버터구이
24,"곡류, 서류 제품",431,감자구이,"곡류, 서류 제품_431_감자구이"
5,국 및 탕류,432,두부아욱된장국,국 및 탕류_432_두부아욱된장국
24,"곡류, 서류 제품",433,옥수수구이,"곡류, 서류 제품_433_옥수수구이"
7,찜류,434,새우찜,찜류_434_새우찜
1,밥류,436,돼지고기카레라이스,밥류_436_돼지고기카레라이스
8,구이류,437,더덕구이,구이류_437_더덕구이
7,찜류,438,북어찜,찜류_438_북어찜
5,국 및 탕류,439,소고기우거지콩나물된장국,국 및 탕류_439_소고기우거지콩나물된장국
8,구이류,440,도라지구이,구이류_440_도라지구이
5,국 및 탕류,441,배추느타리버섯국,국 및 탕류_441_배추느타리버섯국
7,찜류,442,복어채소찜,찜류_442_복어채소찜
5,국 및 탕류,444,표고버섯된장국,국 및 탕류_444_표고버섯된장국
1,밥류,445,계란덮밥,밥류_445_계란덮밥
7,찜류,448,채소미더덕찜,찜류_448_채소미더덕찜
5,국 및 탕류,449,시금치풋고추된장국,국 및 탕류_449_시금치풋고추된장국
8,구이류,450,김구이,구이류_450_김구이
7,찜류,451,코다리찜,찜류_451_코다리찜
5,국 및 탕류,452,두부근대된장국,국 및 탕류_452_두부근대된장국
1,밥류,453,하이라이스,밥류_453_하이라이스
5,국 및 탕류,454,배추해장국,국 및 탕류_454_배추해장국
7,찜류,455,망둥어양념찜,찜류_455_망둥어양념찜
5,국 및 탕류,456,버섯국,국 및 탕류_456_버섯국
11,조림류,457,장어조림,조림류_457_장어조림
5,국 및 탕류,458,감자된장국,국 및 탕류_458_감자된장국
5,국 및 탕류,459,배추팽이버섯국,국 및 탕류_459_배추팽이버섯국
7,찜류,460,동태찜,찜류_460_동태찜
7,찜류,463,감성돔찜,찜류_463_감성돔찜
5,국 및 탕류,464,소고기시래기된장국,국 및 탕류_464_소고기시래기된장국
5,국 및 탕류,465,홍합된장국,국 및 탕류_465_홍합된장국
1,밥류,467,순대국밥,밥류_467_순대국밥
5,국 및 탕류,470,소고기우거지해장국,국 및 탕류_470_소고기우거지해장국
7,찜류,472,대합찜,찜류_472_대합찜
5,국 및 탕류,473,우족탕,국 및 탕류_473_우족탕
7,찜류,474,대구채소찜,찜류_474_대구채소찜
7,찜류,475,꽃게찜,찜류_475_꽃게찜
7,찜류,476,꼬막찜,찜류_476_꼬막찜
5,국 및 탕류,477,사골탕,국 및 탕류_477_사골탕
7,찜류,478,자반고등어찜,찜류_478_자반고등어찜
1,밥류,479,버섯덮밥,밥류_479_버섯덮밥
7,찜류,481,고등어채소찜,찜류_481_고등어채소찜
11,조림류,482,건꼴뚜기조림,조림류_482_건꼴뚜기조림
1,밥류,483,소고기덮밥,밥류_483_소고기덮밥
11,조림류,486,바지락무조림,조림류_486_바지락무조림
7,찜류,487,가자미채소찜,찜류_487_가자미채소찜
1,밥류,488,소고기국밥,밥류_488_소고기국밥
5,국 및 탕류,489,소고기육개장,국 및 탕류_489_소고기육개장
11,조림류,490,꽁치무조림(캔),조림류_490_꽁치무조림(캔)
7,찜류,494,소고기편육,찜류_494_소고기편육
5,국 및 탕류,495,오리탕,국 및 탕류_495_오리탕
11,조림류,496,뱅어포고추장조림,조림류_496_뱅어포고추장조림
1,밥류,499,광어회덮밥,밥류_499_광어회덮밥
11,조림류,500,감자게맛살조림,조림류_500_감자게맛살조림
5,국 및 탕류,501,소고기완자탕,국 및 탕류_501_소고기완자탕
11,조림류,503,꽁치조림,조림류_503_꽁치조림
5,국 및 탕류,504,해물짬뽕국,국 및 탕류_504_해물짬뽕국
11,조림류,505,돼지족발,조림류_505_돼지족발
1,밥류,506,해물덮밥,밥류_506_해물덮밥
11,조림류,507,대구포조림,조림류_507_대구포조림
5,국 및 탕류,508,곱창국,국 및 탕류_508_곱창국
7,찜류,509,돼지목살수육,찜류_509_돼지목살수육
5,국 및 탕류,510,닭고기무국,국 및 탕류_510_닭고기무국
11,조림류,511,북어조림,조림류_511_북어조림
1,밥류,512,오징어덮밥,밥류_512_오징어덮밥
